Screen Name,Follower Count,Total Tweets,Type
paulakerger,3715,502,Celebrity
esusseles,587,117,Expert
INSIGHT_News,1894,4715,Celebrity
repjohnlewis,1094214,1954,Celebrity
BALSAfoundation,722,536,Expert
StartLouis,3241,2488,Celebrity
GiftAMeal,1202,2145,Celebrity
iitb_wustl,161,162,Expert
wrightstate,14906,48326,Celebrity
CollegeCEOs,694,994,Expert
SIRIUSXM,252163,45414,Celebrity
Sra_Arnold,1221,3084,Celebrity
BearStudiosSTL,199,10,Expert
STLpubLibrary,13327,5469,Celebrity
SkinkerD,598,640,Expert
matt_devoll,195,654,Expert
PaulSchankmanTV,1679,225,Celebrity
CenteneCtrWUSTL,299,215,Expert
cirtlnetwork,1414,2302,Celebrity
Weatherbird,17321,41248,Celebrity
AcademicBatgirl,27706,2585,Celebrity
WUFSAP,37,23,Layman
AdiaHWingfield,2559,1155,Celebrity
Google,21389033,100725,Celebrity
AnitaB_org,46542,18916,Celebrity
UNICEF,7662895,43627,Celebrity
Habitat_org,1079962,25501,Celebrity
SpaceX,8831791,4416,Celebrity
MarsCuriosity,4043039,3708,Celebrity
varsitytutors,5086,5183,Celebrity
eqstl,3515,5059,Celebrity
kloughead,31,472,Layman
deepfriar,332,22236,Expert
gatesfoundation,1951341,14118,Celebrity
pikazoapp,1659,2001,Celebrity
MellonProgsWW,408,2129,Expert
launchcode,12273,5415,Celebrity
OWNIT_WashU,153,294,Expert
WUMT,324,548,Expert
AsthmaWing,842,1165,Expert
KIPPSTL,792,810,Expert
andrewsrubin,277,3,Expert
SiriouslySusan,2082283,1998,Celebrity
WUSTLModLitColl,150,645,Expert
maryjobang,199,1,Expert
CPhillipsPoet,6417,2485,Celebrity
WUTV22,216,386,Expert
ATTimpact,17756,5431,Celebrity
debates,12316,46,Celebrity
Wustlmusic,273,380,Expert
TeachForAmerica,152633,28439,Celebrity
IKEAStLouis,3561,1103,Celebrity
Stratton_Jill,925,1750,Expert
claythecrusade,1020,5232,Celebrity
JGFink,270,993,Expert
AllySchipma,1076,16315,Celebrity
WashURec,565,847,Expert
mikejimreed,390,3131,Expert
shwood,1783451,90631,Celebrity
WUSTL16,55,18,Layman
washu_jkl,13,58,Layman
Deanne_Bell,2901,758,Celebrity
TFASTL,1811,2767,Celebrity
washuhillel,973,784,Expert
HillelIntl,18970,12348,Celebrity
JenSmithWashU,346,431,Expert
benlowy,14071,8685,Celebrity
DrPatSportsBiz,2289,3036,Celebrity
WashUOTM,608,736,Expert
WU_Connections,61,38,Layman
eebsworthgoold,1606,14444,Celebrity
STEMpactSTL,912,1098,Expert
A_JHoffman,29,197,Layman
HawthornSTL,336,533,Expert
emmalynchtyler,2271,13043,Celebrity
