Screen Name,Follower Count,Total Tweets,Type
dawn_angerer,21,38,Layman
BrownArtRoom,158,304,Expert
emcuebee,966,1123,Expert
brucefranksjr,19451,39057,Celebrity
spartansapply,192,185,Expert
CHS_College101,295,1104,Expert
Ligona0514,21,50,Layman
CounselorWHS,284,812,Expert
WCHSadviser,242,1064,Expert
paigehulsey,2324,3792,Celebrity
bigclubdigital,57,67,Layman
AARPVa,2810,9381,Celebrity
EricaPayneAP,1836,4553,Celebrity
laspalmasmex,145,542,Expert
RitaWorlock,223,2208,Expert
katiesizzler,229,1661,Expert
healthunits,2982,3276,Celebrity
StChasCitySch,2534,5956,Celebrity
SHHomePlace,6523,2858,Celebrity
ironmom10,58,193,Layman
nancy_zoellner,23,29,Layman
vpbaycom,368,1798,Expert
2020Amit,14,5,Layman
itsyaboiFil,220,465,Expert
zeus_DCLXVI,535,14427,Expert
BrownSSDL,325,233,Expert
fsodagari,719,1136,Expert
supermod_l,978,41976,Expert
BrilliantPaper4,89,9,Layman
sarahhphysics,10,24,Layman
espressobreakk,395,416,Expert
lizkenner,200,1896,Expert
CU_Bioethics,4712,869,Celebrity
Matt_Krok,58,89,Layman
PARAMEDIC900,639,9990,Expert
MichaelBrough,62,493,Layman
liberotr,4,0,Layman
iken_mike,23,6,Layman
CochFcoch4,0,0,Layman
kandasin,464,3066,Expert
ItsJustMimi,1252,3042,Celebrity
MaddyMpa123,166,218,Expert
wintayeg,675,2153,Expert
_CoachJMart,1344,362,Celebrity
HaleyDoGo,51,71,Layman
joeman1549,264,722,Expert
pokersigma,25,16,Layman
cabralronald63,57,32,Layman
CohlGroup,235,4795,Expert
JackyCh37309,1,4,Layman
limjoohyun,60,46,Layman
cesmith86,116,174,Expert
Allstar_tutor,20,249,Layman
Markgibson11_Do,63,0,Layman
hollymcbdesign,10,190,Layman
jtgumm,26,6,Layman
authentictcraig,1,2,Layman
PhiMuAlphaUMSL,46,29,Layman
GPAQresearch,177,28,Expert
lisabmoloney,23,121,Layman
jenstudwell,73,947,Layman
JACCJournals,26788,6739,Celebrity
EnsleyScott,0,0,Layman
3MT_official,1638,165,Celebrity
Joshuatweets4u,262,44,Expert
abswimmer17,1,0,Layman
WashU_BMES,3,0,Layman
gcugrad20156751,33,319,Layman
wcd_a,316,1179,Expert
doug310,151,2249,Expert
Mrsalsobrook21,36,43,Layman
JacquiH_S,7,0,Layman
HenriettaMensa1,298,1354,Expert
BattleDoom1516,482,473,Expert
Alfaramz3,74,530,Layman
tim2037,3119,102427,Celebrity
bearcutswashu,10,2,Layman
natekin0517,26,590,Layman
Amypartyofsix,1,1,Layman
chromatinftw,92,49,Layman
emilyborcila,596,11687,Expert
WUResearchNet,3,2,Layman
BennerTull,34,90,Layman
imdaddyasfuck,73,164,Layman
StacieMarecek,13,61,Layman
MissAnastasia4,426,1110,Expert
pluggedinhq,339,339,Expert
krugbr,49,460,Layman
drewey,132,1849,Expert
CIViCdb,233,219,Expert
Dormans_2006,28,3403,Layman
GrainAx,753,11099,Expert
GirlScoutsEM,2241,3960,Celebrity
VianneyGuidance,634,1763,Expert
MOBeyondCoal,789,1417,Expert
hannahlin78,3,3,Layman
Pingbanglin,9,8,Layman
AlisiaStFlorian,45,18,Layman
XuRunfeng,2,24,Layman
LindseyManshack,106,200,Expert
sskattanss,2,0,Layman
Victoria_CMF,1,5,Layman
52Ned,3,415,Layman
svhscollegeinfo,312,97,Expert
loufuszmazda,532,1011,Expert
CDForum_WUSTL,25,53,Layman
christkuro,56,141,Layman
rodneyjohn42,116,2546,Expert
JackDaven,449,2137,Expert
Iqbal16386633,90,30,Layman
debdefries1,7,6,Layman
huyMach,1122,796,Celebrity
Johnny56857925,31,51,Layman
dew_socio_logic,1048,1747,Celebrity
jzuba00,22,133,Layman
VictorHSanchezS,333,544,Expert
NooterTweets,218,280,Expert
sscrappy2,1299,2503,Celebrity
SHSSenators,2216,15705,Celebrity
_bbctol,89,2087,Layman
MorelandEllen,10,1,Layman
donnagan936,1,5,Layman
_elmah,139,1057,Expert
joeddougherty,498,641,Expert
old_fat_ANTONOV,135,632,Expert
cass_tran,28,1106,Layman
Reeher,594,1714,Expert
KCCareers,3185,6346,Celebrity
celloalatte,5,62,Layman
KevinRHahn,78,53,Layman
miocyon,266,3602,Expert
MesudeAngin,31,685,Layman
rooroo44444,0,537,Layman
StlCoOEM,9086,8684,Celebrity
sydni_weisberg,147,69,Expert
mauromatta37,838,1435,Expert
HoltkampColleen,4,31,Layman
indrani1025,3,5,Layman
